 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,Bi untuk perawatan  kendaraan service ban N 2113 EFD  tgl 06/01/2026,Perawatan Kendaraan,,"5,000","-312,280",,,,,,,,,,"34,117"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 06/01/2026,Listrik Kantor,,"203,500","-515,780",,,,,,,,,,
,6,Bi untuk pembelian ATK tgl 06/01/2026 - 5pcs isi stapler@ 1.400,ATK,,"7,000","-522,780",,,,,,,,,,
,,Bi untuk pembelian ATK tgl 06/01/2026 - 1pcs cutter vanco @ 7.400,ATK,,"7,400","-530,180",,,,,,,,,,
,,Bi untuk pembelian ATK tgl 06/01/2026 - 1pcs k.thermal@ 29.000,ATK,,"29,000","-559,180",,,,,,,,,,
,,diskon pembelian,diskon,1000,,"-558,180",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 06/01/2026 - 1pcs ctk 6x10 @ 2.500 ,Rumah Tangga,,"2,500","-560,680",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 06/01/2026 - 1pcs boyo uk 35 @ 23.000,Rumah Tangga,,"23,000","-583,680",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 06/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-713,680",,,,,,,,,,
,,Bi untuk pembayaran  jasa tukang tgl 06/01/2026,jasa,,"500,000","-1,213,680",,,,,,,,,,
7 Jan,7,Dana Masuk Operasional,dana masuk,2000000,,"786,320",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 07/01/2026,IKR Lawang,,23000,"763,320",,,,,,,,,,
,,Bi pembelian konsumsi untuk IKR Lawang tgl 07/01/2026 ,IKR Lawang,,"50,900","712,420",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 07/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","582,420",,,,,,,,,,
,,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 07/01/2026,Transportasi,,"2,000","580,420",,,,,,,,,,
,,Bi pembayaran transport karyawan kantor tgl 07/01/2026,Transportasi,,"350,000","230,420",,,,,,,,,,
,,"Bi BBM N 2821 TEO km 366613 tgl 07/01/2026 ltr 1.0 lawang,singosari",Transportasi,,"10,000","220,420",,,,,,,,,,
,,Bi BBM N 4559 EGM  km 398999 tgl 07/01/2026 ltr 1.5 maintance  arjosari,Transportasi,,"15,000","205,420",,,,,,,,,,
,,Bi BBM W3979 QH  km 211063 tgl 07/01/2026 ltr 0.8 lawang                   ,Transportasi,,"10,000","195,420",,,,,,,,,,
,,Bi untuk pembelian rokok maintance lawang (rahmat) tgl 07/01/2026,jasa,,32000,"163,420",,,,,,,,,,
,,Bi pembelian material tgl 07/01/2026- 2pcs Te @ 7.000,Material,,14000,"149,420",,,,,,,,,,
8 Jan,8,Bi BBM N 2114 EFD km 356323 tgl 08/01/2026 ltr 3.0 singosari,Transportasi,,"29,990","119,430",,,,,,,,,,
,,Bi BBM N 3281 GG km 547978 tgl 08/01/2026 ltr 1.5 sukun  ,Transportasi,,"15,000","104,430",,,,,,,,,,
,,Bi BBM N 2110 EFD km 388193 tgl 08/01/2026 ltr 3.8 maintance jatisari ,Transportasi,,"38,000","66,430",,,,,,,,,,
,,Bi parkir N 2114 EFD Bank Mandiri Singosari tgl 08/01/2026,Transportasi,,"2,000","64,430",,,,,,,,,,
,,Bi BBM N 2418 YBI km 594211 tgl 08/01/2026 ltr 2.0 IKR Lawang ,IKR Lawang,,"20,000","44,430",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 08/01/2026,IKR Lawang,,14500,"29,930",,,,,,,,,,
