,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 1pcs top coff mkachino@ 13.500,Rumah Tangga,,13500,"2,638,817"
,,diskon pembelian,diskon,,-8000,"2,646,817"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 9pcs oxy@ 12.000,Rumah Tangga,,108000,"2,538,817"
,,Bi untuk pembelian rumah tangga tgl 13/02/2026 - 2pcs batu baterai@ 3.000,Rumah Tangga,,6000,"2,532,817"
,,Bi pembelian material tgl 13/02/2026- 15pcs micro SD V-gen @ 60.480,Material,,866000,"1,666,817"
,,Bi BBM N 6840 E km 789211 tgl 13/02/2026 ltr 2.0 maintance randuagung,Transportasi,,20000,"1,646,817"
,,Bi BBM M 5687 CP  km 469184  tgl 13/02/2026 ltr 2.0                                  ,Transportasi,,20000,"1,626,817"
,,Bi BBM N 3222 KK km  188572 tgl 13/02/2026 ltr 1.5 maintance gajahan,Transportasi,,15000,"1,611,817"
,,Bi untuk perawatan  kendaraan ganti ban dalam N 2114EFD tgl 13/02/2026,Perawatan Kendaraan,,"30,000","1,581,817"
14 Feb,14,uang masuk setoran tasikmadu,dana masuk,740000,,"2,321,817"
,,dana masuk operasional,dana masuk,666000,,"2,987,817"
,,dana masuk operasional,dana masuk,333000,,"3,320,817"
,,Bi untuk dana keluar tidak tercatat tgl 14/02/2026,lain-lain,,"333,000","2,987,817"
,,Bi BBM N 3346 ABF km 679226 tgl 11/02/2026 ltr 2.0 maintance bedali,Transportasi,,"20,000","2,967,817"
,,"Bi BBM M 2369 AI  km 541750 tgl 14/02/2026 ltr 2.5 arjosari, kasin",Transportasi,,"25,000","2,942,817"
,,Bi BBM N 3222 KK  km 189103 tgl 14/02/2026 ltr 1.5 maintance bedali,Transportasi,,"15,000","2,927,817"
,,Bi BBM N 2110 EFD  km 407878 tgl 14/02/2026 ltr 1.0,Transportasi,,"10,000","2,917,817"
,,"Bi BBM N 2109 EFD  km 986721 tgl 14/02/2026 ltr 1.5 maintance gondang,kunci",Transportasi,,"15,000","2,902,817"
