,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Juni 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi pembelian material tgl  12/06/2026- 2pcs klem paku no.6@ 5.000,Material,,"10,000","5,744,465"
,,Bi pembelian material tgl  12/06/2026- 2pcs klem paku no.8 @ 7.500,Material,,"15,000","5,729,465"
,,Bi pembelian material tgl  12/06/2026- 2pcs rj 45 @ 40.000,Material,,80000,"5,649,465"
,,Bi pembelian material tgl  12/06/2026- 1pcs htb eterlink @ 90.000,Material,,"90,000","5,559,465"
,,Bi pembelian material tgl  12/06/2026- 10pcs solasi @ 7.500,Material,,"75,000","5,484,465"
,,Bi pembelian ATK tgl 12/06/2026- 3rim natural A4  @ 38.500,ATK,,"77,000","5,407,465"
,,Bi pembelian ATK tgl 12/06/2026- 1pcs cutter @ 3.700,ATK,,"3,700","5,403,765"
,,diskon pembelian,diskon,,"-1,600","5,405,365"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 12/06/2026,Listrik Kantor,,"203,500","5,201,865"
,,Bi BBM N 2668 GM km501949 tgl 11/06/2026 ltr 1.5 maintance randuagung,transportasi,,"15,000","5,186,865"
,,"Bi BBM N 6840 GE km 826362 tgl 12/06/2026 ltr 2.0 maintance bedali,randutelu,garuda",transportasi,,"20,000","5,166,865"
,,Bi BBM N 2110  km 465043 tgl 12/06/2026 ltr 1.0 ,transportasi,,"10,000","5,156,865"
,,Bi BBM N 2109  km 516515 tgl 12/06/2026 ltr 2.0,transportasi,,"20,000","5,136,865"
,,Bi BBM N 2113 km 648734 tgl 12/06/2026 ltr 2.0 maintance mangliawan,transportasi,,"20,000","5,116,865"
,,"Bi BBM N 3346 ABF km 727115 tgl 12/06/2026 ltr 2.0 maintance,songsong,kunci,srigading",transportasi,,"20,000","5,096,865"
,,Bi BBM N 3281 GG km0 tgl 12/06/2026 ltr 2.0 maintance blimbing,transportasi,,"20,000","5,076,865"
,,"Bi BBM N 2668 GM km501949 tgl 12/06/2026 ltr 1.2 maintance kunci,setran, ",transportasi,,"20,000","5,056,865"
13-juni,11,"Bi BBM N 3346 ABF km 727115 tgl 13/06/2026 ltr 2.0 maintance,srigading",transportasi,,"20,000","5,036,865"
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"13,696,761","8,659,896","5,036,865"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
02- juni,,cod nia,,,"23,000",
,,cod pak budi,,,"48,000",
,,rokok om joni,,,"100,000",
,,bensin mobil,,,"100,000",
03-JUNI,,COD NOVEL,,,"35,000",
,,ROKOKPAK BUDI TGL2,,,"26,000",
,,ROKOK PAK BUDI,,,"47,000",
,,BENSIN MAS DIMAS LAWANG SINGOSARI,,,"15,000",
05-juni,,rokok pak budi (nota),,,"47,000",
,,COD NIA,,,98000,
6-Jun-26,,bensin eceran evalia,,,"15,000",
,,cod nia,,,"101,000",
08-juni,,bu april bayar sekolah,,,10000,
09-juni,,cod pak budi,,,"44,000",
10-juni,,rokok pak budi,,,"46,000",
,,cod pak budi,pel 10,,"  87,500.00 ",
,,cod nnovel,pel 10,,"  37,000.00 ",
,,pak budi beli lupis,,,"20,000",
11-juni,,bensin intan teknisi,,,"150,000",
,,ROKOK PAK BUDI DAN OM JONI,,,"50,000",
,,OPERASIONAL MEETING PAK BUDI,,,"200,000",
,,BENSIN EVALIA,,,"50,000",
,,ONGKIR PAKET NOVEL,PEL 11,,"14,000",
,,COD CCTV,,,"1,205,000",
12-juni,,mbg,,,"95,000",
,,COD PAK BUDI OBAT,,,"93,000",
,,rokok pak budi,,,"47,000",
13-juni,,mbg beras lpg,,,"150,000",
,,adaptor rafli,,,"100,000",
,,ROUTER AK + ONGKIR KRIAN REHAN,,,"200,000",
,,COD PAK BUDI OBAT,,,"96,000",
,,reimbes bu dida,,,"500,000",
,,reimbes bensin mb rizki (nota),,,"15,000",
,,bensin pak bara,pel 10rb,,"20,000",
,,,,,,
,,,,,"5,036,865",
,,,,,"  3,884,500.00 ",
,,,,,"  1,152,365.00 ",
,,,,,,
,,kasbone karyawan,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,du dida,,,,
,,,,,,
,05/06,bensin evalia sby,200000,,,
,,etol,150000,,,
,,minuman snack,57000,,,
,,makan siang,113000,,,
,,parkir,18000,,,
,,kurang ,-38000,,,
