,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
14-Apr-26,11,Bi untuk konsumsi mantaince tarik kabel yonkav tgl 14/04/2026,konsumsi,,"50,000","4,370,120",,,,,
14-Apr-26,11,"Bi untuk konsumsi mantaince tarik kabel ODP,ODC Randugembolo tgl 14/04/2026",konsumsi,,"20,100","4,350,020",,,,,
14-Apr-26,11,Bi untuk konsumsi kantor tgl 14/04/2026,konsumsi kantor,,"100,000","4,250,020",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 1pcs copy paper f4 @ 42.200,ATK,,"42,200","4,207,820",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 1pcs copy paper A4 @ 37.199,ATK,,"37,199","4,170,621",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 1pcs nota ncr  @ 1.900,ATK,,"1,900","4,168,721",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 1pcs binder klip  @ 7.700,ATK,,"7,700","4,161,021",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 1pcs binder klip  @ 5.500,ATK,,"5,500","4,155,521",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 1pcs paper clip  @ 2.600,ATK,,"2,600","4,152,921",,,,,
14-Apr-26,11,Bi pembelian ATK tgl 14/04/2026- 2pcs nota kiky @ 2.100,ATK,,"4,200","4,148,721",,,,,
14-Apr-26,11,diskon pembelian,diskon,299,,"4,149,020",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 1pcs mm lmn @ 14.900,Rumah Tangga,,"14,900","4,134,120",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 1pcs sos apple @ 11.200,Rumah Tangga,,"11,200","4,122,920",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 2pcs pikkopi aren @ 12.800,Rumah Tangga,,"25,600","4,097,320",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 1pcs pikkopi mix@ 11.800,Rumah Tangga,,"11,800","4,085,520",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 2pcs lunak mrn@ 10.500,Rumah Tangga,,"21,000","4,064,520",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 1pcs kp branding @ 500,Rumah Tangga,,500,"4,064,020",,,,,
14-Apr-26,11,diskon pembelian,diskon,18000,,"4,082,020",,,,,
14-Apr-26,11,Bi untuk pembelian rumah tangga tgl 14/04/2026- 1pcs idm f/t 2ply @ 22.500,Rumah Tangga,,"22,500","4,059,520",,,,,
14-Apr-26,11,diskon pembelian,diskon,2600,,"4,062,120",,,,,
14-Apr-26,11,Bi untuk pembelian pulsa no NOC adimas 081331615537 tgl 14/04/2026,pulsa,,"50,000","4,012,120",,,,,
14-Apr-26,11,Bi untuk pembelian pulsa no NOC verinda 085708874295 tgl 14/04/2026,pulsa,,"50,000","3,962,120",,,,,
14-Apr-26,11,Bi untuk pembelian listrik server sentul idpel513010410557 tgl 14/04/2026,Listrik Server Sentul,,"100,000","3,862,120",,,,,
15-Apr-26,12,Bi BBM N 2668 GM km 401906  tgl 14/04/2026 ltr 1.5 ,transportasi,,"15,000","3,847,120",,,,,
15-Apr-26,12,Bi BBM L 1793 ACP  tgl 15/04/2026 ltr 5.0,transportasi,,"50,000","3,797,120",,,,,
